step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
7,TRANSFER,164,C1455969984,164,0,C2119910556,0,0,1,0
7,TRANSFER,21571,C786114805,21571,0,C1666314150,0,0,1,0
7,TRANSFER,21729,C1686905633,21729,0,C824421402,0,0,1,0
7,TRANSFER,262434.54,C2101686389,262434.54,0,C612008977,0,0,1,0
7,TRANSFER,441445.58,C1023505879,441445.58,0,C847761155,0,0,1,0
7,TRANSFER,5460002.91,C666654362,5460002.91,0,C1726301214,0,0,1,0
8,CASH_OUT,222,C1737727444,222,0,C588779235,24708,171647.35,1,0
8,CASH_OUT,1996.17,C858959216,1996.17,0,C864078397,2559.74,4555.92,1,0
8,CASH_OUT,29707.86,C515973302,29707.86,0,C170071280,10935,0,1,0
8,CASH_OUT,43092,C1395071924,43092,0,C79685693,660641.74,1158662.9,1,0
8,CASH_OUT,89631.24,C1938531779,89631.24,0,C2048578791,21175,0,1,0
8,CASH_OUT,181728.11,C2102265902,0,0,C789014007,11397,184477.77,1,0
8,TRANSFER,222,C1961506277,222,0,C378841819,0,267095.19,1,0
8,TRANSFER,1996.17,C1198040187,1996.17,0,C1828047633,0,0,1,0
8,TRANSFER,29707.86,C1825456600,29707.86,0,C570409417,0,0,1,0
8,TRANSFER,43092,C1683174795,43092,0,C427998326,0,0,1,0
8,TRANSFER,89631.24,C74534388,89631.24,0,C1748042844,0,0,1,0
8,TRANSFER,1078013.76,C1026280121,0,0,C277510102,0,970749.68,1,0
9,CASH_OUT,1055,C1764109750,1055,0,C1522743169,75179,0,1,0
9,CASH_OUT,11308,C921533797,11308,0,C424669538,0,302550.56,1,0
9,CASH_OUT,21922,C1499032143,21922,0,C1508330669,1929861.61,2046918.8,1,0
9,CASH_OUT,244068.01,C507466068,244068.01,0,C706331499,0,338538.16,1,0
9,CASH_OUT,350705.74,C58527359,350705.74,0,C582901057,894760.68,1794033.65,1,0
9,CASH_OUT,361559.69,C684758020,361559.69,0,C1769042905,504667.31,189441.24,1,0
9,CASH_OUT,556218.01,C589143360,556218.01,0,C1992550266,0,582265.81,1,0
9,CASH_OUT,1154353.99,C1034219836,1154353.99,0,C1195589213,162222,1965587.6,1,0
9,CASH_OUT,2539898.07,C728718059,2539898.07,0,C1013511446,968,1842864.22,1,0
9,TRANSFER,1055,C666486325,1055,0,C279565067,0,0,1,0
9,TRANSFER,11308,C299933576,11308,0,C1060999444,0,0,1,0
9,TRANSFER,21922,C102617052,21922,0,C760675871,0,0,1,0
9,TRANSFER,244068.01,C1087133093,244068.01,0,C1855553543,0,0,1,0
9,TRANSFER,350705.74,C1452168793,350705.74,0,C399194578,0,1184633.07,1,0
9,TRANSFER,361559.69,C1287719145,361559.69,0,C352239275,0,141302.12,1,0
9,TRANSFER,556218.01,C1769581889,556218.01,0,C217441120,0,0,1,0
9,TRANSFER,994453.2,C1121789613,1437370.87,442917.67,C254839817,194812.76,665743.67,1,0
9,TRANSFER,1154353.99,C670587931,1154353.99,0,C150406565,0,10872.9,1,0
9,TRANSFER,2539898.07,C394488466,2539898.07,0,C575638324,0,261290.69,1,0
10,CASH_OUT,9217.19,C1105700111,9217.19,0,C1767952032,0,9217.19,1,0
10,CASH_OUT,59835,C1020461364,59835,0,C2144015041,255480.76,315315.76,1,0
10,CASH_OUT,93810.76,C1190429229,93810.76,0,C2104652067,4096048.05,4189858.81,1,0
10,CASH_OUT,277970.88,C489647033,0,0,C571514738,0,277970.88,1,0
10,CASH_OUT,503405.88,C140359285,503405.88,0,C2020337583,29669,533074.88,1,0
10,CASH_OUT,2662734.59,C813115168,2662734.59,0,C401825929,14165.62,2930405.33,1,0
10,TRANSFER,9217.19,C184586799,9217.19,0,C812377986,0,96795.6,1,0
10,TRANSFER,59835,C1568400442,59835,0,C1262169546,0,0,1,0
10,TRANSFER,93810.76,C481501970,93810.76,0,C1262577882,0,0,1,0
10,TRANSFER,503405.88,C1446009472,503405.88,0,C2010733400,0,0,1,0
10,TRANSFER,2662734.59,C1182702586,2662734.59,0,C2143409210,0,0,1,0
11,CASH_OUT,2100,C169099320,2100,0,C697156329,112512.48,114612.48,1,0
11,CASH_OUT,12461,C938980312,12461,0,C621014131,27964.11,40425.11,1,0
11,CASH_OUT,313418.28,C2021456831,313418.28,0,C157591472,688164.64,1029922.17,1,0
11,TRANSFER,2100,C785601242,2100,0,C1576053316,0,0,1,0
11,TRANSFER,12461,C2079232448,12461,0,C585834595,0,0,1,0
11,TRANSFER,313418.28,C711446907,313418.28,0,C888769567,0,97980.88,1,0
11,TRANSFER,1933920.8,C1706582969,0,0,C461905695,1283762.85,3217683.65,1,0
12,CASH_OUT,2007,C1331829443,2007,0,C127509847,129917.8,250910.76,1,0
12,CASH_OUT,8677,C343345083,8677,0,C200064275,225127.62,233804.62,1,0
12,CASH_OUT,19472,C1205151454,19472,0,C664770316,0,19472,1,0
12,CASH_OUT,149668.66,C227115333,0,0,C460735540,44170.11,193838.76,1,0
12,CASH_OUT,222048.71,C265790428,0,0,C1700442291,2979,225027.71,1,0
12,CASH_OUT,1041647.06,C169939918,1041647.06,0,C1673501963,52730.33,1094377.39,1,0
12,CASH_OUT,2066467.64,C684252268,2066467.64,0,C2027569559,194510.24,3098566.67,1,0
12,CASH_OUT,3964129.99,C1098250442,3964129.99,0,C1140712423,1912955.54,5811064.07,1,0
12,TRANSFER,2007,C439464764,2007,0,C562360384,0,0,1,0
12,TRANSFER,8677,C288028999,8677,0,C184294001,0,0,1,0
12,TRANSFER,19472,C1101705841,19472,0,C925285469,0,0,1,0
12,TRANSFER,1041647.06,C345293642,1041647.06,0,C937194908,0,0,1,0
12,TRANSFER,2066467.64,C1223631235,2066467.64,0,C1281019843,0,81209.81,1,0
12,TRANSFER,3964129.99,C576568419,3964129.99,0,C1571546632,0,0,1,0
13,CASH_OUT,408,C1894004688,408,0,C1293978242,898297.85,1075854.14,1,0
13,CASH_OUT,48375.02,C1894578299,48375.02,0,C590035788,374803.26,658520.33,1,0
13,CASH_OUT,454859.39,C1274887619,0,0,C2146670328,0,454859.39,1,0
13,CASH_OUT,1161495.82,C165094398,1161495.82,0,C1966002811,319036.02,1565123.81,1,0
13,CASH_OUT,2686564.04,C901331326,2686564.04,0,C1662761228,438199.37,3124763.41,1,0
13,CASH_OUT,4022667.54,C79951219,4022667.54,0,C1499489682,80136.56,4057191.21,1,0
13,CASH_OUT,6188514.81,C686187434,6188514.81,0,C1562904239,381607.21,6424681.56,1,0
13,TRANSFER,408,C2021466585,408,0,C1864486913,0,226013.18,1,0
13,TRANSFER,48375.02,C920803432,48375.02,0,C1767389067,0,0,1,0
13,TRANSFER,123194.95,C2143112877,79466.45,0,C1755380031,535933.16,263908.84,1,0
13,TRANSFER,1161495.82,C1864459372,1161495.82,0,C537531657,0,0,1,0
13,TRANSFER,2686564.04,C364029634,2686564.04,0,C2041291172,0,0,1,0
13,TRANSFER,4022667.54,C735463888,4022667.54,0,C1548348754,0,0,1,0
13,TRANSFER,6188514.81,C135832352,6188514.81,0,C2009346140,0,0,1,0
14,CASH_OUT,65488.05,C1137669976,65488.05,0,C1526507740,0,65488.05,1,0
14,CASH_OUT,143032,C465166521,143032,0,C487776685,814654.61,1020323.73,1,0
14,CASH_OUT,1561891.66,C15204463,1561891.66,0,C1255502452,3471928.95,6443177.56,1,0
14,CASH_OUT,1832319.42,C803703656,1832319.42,0,C858007309,43962.42,2440139.69,1,0
14,CASH_OUT,2093951.47,C1440901488,2093951.47,0,C166839225,0,2093951.47,1,0
14,CASH_OUT,2927005.15,C2010427735,2927005.15,0,C1887744176,0,2994420.07,1,0
14,TRANSFER,65488.05,C236875489,65488.05,0,C528705657,0,0,1,0
14,TRANSFER,143032,C1960144830,143032,0,C801162238,0,0,1,0
14,TRANSFER,1561891.66,C736093511,1561891.66,0,C1224081716,0,0,1,0
14,TRANSFER,1832319.42,C439830884,1832319.42,0,C1133002328,0,0,1,0
14,TRANSFER,2093951.47,C1374377088,2093951.47,0,C207611232,0,0,1,0
14,TRANSFER,2927005.15,C2081788795,2927005.15,0,C2138456206,0,0,1,0
15,CASH_OUT,119,C1584512618,119,0,C2102058838,4844060.13,4844179.13,1,0
15,CASH_OUT,170,C1065370362,170,0,C200064275,413421.36,345764.15,1,0
15,CASH_OUT,39713.28,C1404885898,0,0,C1795377601,1274866.51,1314579.79,1,0
15,CASH_OUT,59385.67,C1765315298,59385.67,0,C721356209,74371,133756.67,1,0
15,CASH_OUT,95428.32,C947728507,0,0,C1720721903,0,95428.32,1,0
15,CASH_OUT,128473.62,C905234452,128473.62,0,C786510892,0,128473.62,1,0
15,CASH_OUT,164500.81,C1689700172,164500.81,0,C149696600,685636.21,850137.02,1,0
15,CASH_OUT,212089.74,C1970843703,212089.74,0,C597280894,257758.48,469848.23,1,0
15,CASH_OUT,248056.41,C1055229266,248056.41,0,C1689170857,0,201427.47,1,0
15,CASH_OUT,696763.08,C725915377,696763.08,0,C1656726101,366114.58,1347073.81,1,0
15,CASH_OUT,747282.4,C842684426,747282.4,0,C2025644484,5340917.82,6088200.22,1,0
15,TRANSFER,119,C1995557473,119,0,C1480876722,0,0,1,0
15,TRANSFER,170,C553034695,170,0,C26381896,0,0,1,0
15,TRANSFER,59385.67,C1275373422,59385.67,0,C1704707395,0,0,1,0
15,TRANSFER,128473.62,C1012580160,128473.62,0,C540657255,0,0,1,0
15,TRANSFER,164500.81,C1761347420,164500.81,0,C383804904,0,0,1,0
15,TRANSFER,212089.74,C378910639,212089.74,0,C1881567873,0,0,1,0
15,TRANSFER,248056.41,C1474711983,248056.41,0,C1009564356,0,0,1,0
15,TRANSFER,696763.08,C968403759,696763.08,0,C1524019269,0,69861.26,1,0
15,TRANSFER,747282.4,C1695793096,747282.4,0,C849010584,0,0,1,0
16,CASH_OUT,31074,C2073757635,31074,0,C1899325653,0,31074,1,0
16,CASH_OUT,121626.82,C828364266,121626.82,0,C101179743,653744.34,775371.16,1,0
16,CASH_OUT,828720.89,C1002446735,828720.89,0,C185805228,9142622.59,10184336.54,1,0
16,CASH_OUT,2198224.71,C705981026,2198224.71,0,C697783649,0,2198224.71,1,0
16,CASH_OUT,2701905.3,C2140905252,2701905.3,0,C970796050,57418,2759323.3,1,0
16,TRANSFER,31074,C457962127,31074,0,C614104997,0,0,1,0
16,TRANSFER,121626.82,C185016231,121626.82,0,C1409959,0,0,1,0
16,TRANSFER,828720.89,C1422357582,828720.89,0,C366986030,0,0,1,0
16,TRANSFER,2198224.71,C752563135,2198224.71,0,C247007952,0,0,1,0
16,TRANSFER,2701905.3,C494334546,2701905.3,0,C428725863,0,0,1,0
17,CASH_OUT,42062.82,C897869440,340830.43,298767.61,C616721459,398931.35,678419.64,1,0
17,CASH_OUT,195351.76,C268542581,195351.76,0,C504693752,156408.25,265841,1,0
17,CASH_OUT,305627,C1600031018,305627,0,C1971951800,7699847.16,8005474.16,1,0
17,CASH_OUT,1639676.27,C967691562,1639676.27,0,C2093967426,448954.92,2198318.48,1,0
17,TRANSFER,195351.76,C1420261366,195351.76,0,C639808302,0,0,1,0
17,TRANSFER,305627,C1711670940,305627,0,C385061535,0,0,1,0
17,TRANSFER,1639676.27,C15998296,1639676.27,0,C1652158314,0,0,1,0
18,CASH_OUT,9131,C895161073,9131,0,C1762082057,133084.02,142215.02,1,0
18,CASH_OUT,11481,C779194867,11481,0,C1475456951,761417.61,1765080.5,1,0
18,CASH_OUT,295664.18,C1446413189,295664.18,0,C185805228,10184336.54,10480000.72,1,0
18,CASH_OUT,307739.18,C281912643,307739.18,0,C1264205758,25326,838246.41,1,0
18,CASH_OUT,314251.58,C1462280812,75956.47,0,C90486891,7962205.25,8276456.84,1,0
18,CASH_OUT,508782.2,C576782065,0,0,C2090737806,1082007.65,1590789.85,1,0
18,CASH_OUT,1102133.9,C1213142549,1102133.9,0,C1880832297,306228.56,1408362.45,1,0
18,CASH_OUT,1144089.37,C1542410200,1144089.37,0,C183389809,2502877.26,3879210.29,1,0
18,CASH_OUT,1974352.3,C365968372,1974352.3,0,C579837876,15531.71,1989884.01,1,0
18,TRANSFER,9131,C1592623877,9131,0,C87183368,0,0,1,0
18,TRANSFER,11481,C370107492,11481,0,C1680789799,0,263492.28,1,0
18,TRANSFER,295664.18,C1726326177,295664.18,0,C1540448785,0,0,1,0
18,TRANSFER,307739.18,C1066119351,307739.18,0,C702410034,0,0,1,0
18,TRANSFER,1102133.9,C590103740,1102133.9,0,C1610372134,0,746575.95,1,0
18,TRANSFER,1144089.37,C1218322192,1144089.37,0,C1107369132,0,0,1,0
18,TRANSFER,1974352.3,C745648946,1974352.3,0,C1091334879,0,0,1,0
19,CASH_OUT,122101.57,C149845822,0,0,C1200316948,0,639940.2,1,0
19,CASH_OUT,143660.11,C681501417,143660.11,0,C447183071,0,143660.11,1,0
19,CASH_OUT,161939.36,C1993475473,161939.36,0,C1832323051,628935.02,851972.34,1,0
19,CASH_OUT,1861008.32,C1718961034,1861008.32,0,C714051433,0,1789942.62,1,0
19,CASH_OUT,3477438.49,C841995363,3477438.49,0,C1314676285,0,3477438.49,1,0
19,CASH_OUT,10000000,C2050703310,10000000,0,C1622860679,504326.62,10342417.9,1,0
19,TRANSFER,143660.11,C1156611770,143660.11,0,C742977582,0,0,1,0
19,TRANSFER,161939.36,C263177591,161939.36,0,C94435408,0,0,1,0
19,TRANSFER,1861008.32,C1990303942,1861008.32,0,C1308678191,0,0,1,0
19,TRANSFER,3477438.49,C767243506,3477438.49,0,C1532877354,0,0,1,0
19,TRANSFER,10000000,C416779475,11861008.32,1861008.32,C380259496,0,0,1,0
20,CASH_OUT,16614.82,C530844914,16614.82,0,C1614121155,904409.29,921024.11,1,0
20,CASH_OUT,448025.06,C348303891,448025.06,0,C1432596631,71679.93,519704.99,1,0
20,TRANSFER,16614.82,C2080146129,16614.82,0,C748889213,0,0,1,0
20,TRANSFER,448025.06,C1976637754,448025.06,0,C4020115,0,0,1,0
21,CASH_OUT,23292.3,C1861214292,0,0,C1834461593,392364.62,415656.92,1,0
21,CASH_OUT,158299.34,C179332971,158299.34,0,C631110333,36152.54,271369.74,1,0
21,CASH_OUT,785323,C1794798581,785323,0,C801984124,803839.25,1720783.92,1,0
21,TRANSFER,158299.34,C278180302,158299.34,0,C1551346623,0,0,1,0
21,TRANSFER,785323,C1204079316,785323,0,C637091706,0,0,1,0
22,CASH_OUT,37100.29,C142707413,37100.29,0,C63948986,433212.41,470312.7,1,0
22,CASH_OUT,74804.24,C1683055902,74804.24,0,C313857348,0,74804.24,1,0
22,CASH_OUT,77773.14,C598573300,77773.14,0,C2060664104,1853403.61,1931176.75,1,0
22,CASH_OUT,89571.46,C1022920965,4505.6,0,C1460548505,1929428.01,2018999.47,1,0
22,CASH_OUT,235512.2,C1956707614,235512.2,0,C1481851679,8490637.21,9272647.09,1,0
22,CASH_OUT,239646.72,C663158205,239646.72,0,C1104558647,2208970.26,2448616.98,1,0
22,CASH_OUT,346704.55,C54851371,346704.55,0,C943084296,513994.79,860699.34,1,0
22,CASH_OUT,379878,C1495269307,379878,0,C475345362,1301414.19,1681292.19,1,0
22,CASH_OUT,461509.86,C2141057802,461509.86,0,C802885021,302583.81,764093.67,1,0
22,CASH_OUT,489767.32,C480109552,489767.32,0,C720599914,0,489767.32,1,0
22,CASH_OUT,1258956.71,C673988903,1258956.71,0,C833477645,4736010.72,5994967.43,1,0
22,CASH_OUT,2068118.36,C1672125863,2068118.36,0,C559485820,3054285.45,5122403.81,1,0
22,TRANSFER,37100.29,C362085592,37100.29,0,C1652057111,0,0,1,0
22,TRANSFER,74804.24,C1239771149,74804.24,0,C1699565892,0,0,1,0
22,TRANSFER,77773.14,C834571675,77773.14,0,C312865842,0,0,1,0
22,TRANSFER,235512.2,C480136801,235512.2,0,C160106315,0,0,1,0
22,TRANSFER,239646.72,C1977304181,239646.72,0,C1053513851,0,0,1,0
22,TRANSFER,346704.55,C1332180070,346704.55,0,C2027621451,0,0,1,0
22,TRANSFER,379878,C336424141,379878,0,C404961694,0,0,1,0
22,TRANSFER,461509.86,C1765744035,461509.86,0,C788887602,0,0,1,0
22,TRANSFER,489767.32,C869780206,489767.32,0,C926230389,0,0,1,0
22,TRANSFER,1258956.71,C1209224134,1258956.71,0,C314012937,0,0,1,0
22,TRANSFER,2068118.36,C1472367087,2068118.36,0,C52390890,0,0,1,0
23,CASH_OUT,146127.1,C785373587,146127.1,0,C1824914593,177874.39,324001.49,1,0
23,TRANSFER,146127.1,C1866778945,146127.1,0,C225469649,0,0,1,0
24,CASH_OUT,6844.73,C2006451816,6844.73,0,C1380348902,264100.7,270945.42,1,0
24,CASH_OUT,291305.98,C1962370851,291305.98,0,C1560190757,954554.82,1247963.68,1,0
24,CASH_OUT,986876.27,C1896884992,986876.27,0,C309078889,57853.96,1044730.24,1,0
24,TRANSFER,6844.73,C997222163,6844.73,0,C761549792,0,0,1,0
24,TRANSFER,291305.98,C71665357,291305.98,0,C1607901570,0,0,1,0
24,TRANSFER,986876.27,C1702714599,986876.27,0,C83459379,0,0,1,0
25,CASH_OUT,8383.17,C644686763,8383.17,0,C980380973,6577262.64,6585645.81,1,0
25,CASH_OUT,18126.95,C57087263,18126.95,0,C1574807586,0,18126.95,1,0
25,CASH_OUT,44829.81,C1812532920,44829.81,0,C1135869087,301552.31,346382.12,1,0
25,CASH_OUT,217231,C1847744332,217231,0,C1181708889,7236671.1,7453902.1,1,0
25,CASH_OUT,249159.26,C1962232117,249159.26,0,C750661006,285997.41,535156.67,1,0
25,CASH_OUT,296333.54,C1938399138,296333.54,0,C257884050,3355664.68,3651998.22,1,0
25,CASH_OUT,781953.11,C1665079678,781953.11,0,C1566512642,0,781953.11,1,0
25,CASH_OUT,802382.45,C1343455954,802382.45,0,C1045004287,0,802382.45,1,0
25,CASH_OUT,1698263.69,C902520408,1698263.69,0,C1047966944,0,1698263.69,1,0
25,TRANSFER,8383.17,C282822245,8383.17,0,C1731493383,0,0,1,0
25,TRANSFER,18126.95,C556483673,18126.95,0,C946378506,0,0,1,0
25,TRANSFER,44829.81,C589374615,44829.81,0,C1612426642,0,0,1,0
25,TRANSFER,217231,C1527375688,217231,0,C658289217,0,0,1,0
25,TRANSFER,249159.26,C862942009,249159.26,0,C1488413166,0,0,1,0
25,TRANSFER,296333.54,C1473328942,296333.54,0,C1650053869,0,0,1,0
25,TRANSFER,781953.11,C763225876,781953.11,0,C1927695058,0,0,1,0
25,TRANSFER,802382.45,C127098115,802382.45,0,C1570699013,0,0,1,0
25,TRANSFER,1698263.69,C1865185181,1698263.69,0,C388097316,0,0,1,0
26,CASH_OUT,37065.55,C281192595,37065.55,0,C514736179,1396327.66,1433393.21,1,0
26,CASH_OUT,78741.64,C1993214834,78741.64,0,C1402138462,48628.52,127370.16,1,0
26,CASH_OUT,331829.94,C1357985676,331829.94,0,C255246845,792855.99,1124685.94,1,0
26,CASH_OUT,369186.87,C1121219802,369186.87,0,C418751321,36224.11,405410.97,1,0
26,CASH_OUT,1027152.36,C1016323653,1027152.36,0,C409414944,519428.56,1546580.92,1,0
26,CASH_OUT,1646181.09,C441238852,1646181.09,0,C2059240998,220025.2,1866206.29,1,0
26,TRANSFER,37065.55,C1952239554,37065.55,0,C399460584,0,0,1,0
26,TRANSFER,78741.64,C1482114822,78741.64,0,C2123466960,0,0,1,0
26,TRANSFER,331829.94,C1549516546,331829.94,0,C1908627867,0,0,1,0
26,TRANSFER,369186.87,C1879175902,369186.87,0,C900709443,0,0,1,0
26,TRANSFER,1027152.36,C414159853,1027152.36,0,C1087566727,0,0,1,0
26,TRANSFER,1646181.09,C700083141,1646181.09,0,C1359428492,0,0,1,0
27,CASH_OUT,329937.88,C148278282,329937.88,0,C1783581377,349407.23,679345.1,1,0
27,CASH_OUT,494244.61,C1544211314,494244.61,0,C1751768780,653451.43,1147696.03,1,0
27,CASH_OUT,496128.26,C705152518,496128.26,0,C741210093,465770.07,961898.33,1,0
27,CASH_OUT,1218165.88,C807604201,1218165.88,0,C849028719,742564.27,1960730.15,1,0
27,TRANSFER,329937.88,C699198167,329937.88,0,C2064246111,0,0,1,0
27,TRANSFER,494244.61,C1529468267,494244.61,0,C1924171481,0,0,1,0
27,TRANSFER,496128.26,C842027258,496128.26,0,C136618845,0,0,1,0
27,TRANSFER,1218165.88,C361429301,1218165.88,0,C550179566,0,0,1,0
28,CASH_OUT,491517.77,C1198658385,491517.77,0,C523126423,518777.34,1010295.11,1,0
28,CASH_OUT,3832058.34,C426880249,3832058.34,0,C1566081912,531662.14,4363720.48,1,0
28,TRANSFER,491517.77,C1029198062,491517.77,0,C1534111155,0,0,1,0
28,TRANSFER,3832058.34,C1279307827,3832058.34,0,C1124913173,0,0,1,0
29,CASH_OUT,268641.82,C2038670336,268641.82,0,C1068543577,197163.95,465805.77,1,0
29,CASH_OUT,340198.41,C1369188336,340198.41,0,C1627551181,1614043.79,1954242.21,1,0
29,TRANSFER,268641.82,C775733773,268641.82,0,C2121303056,0,0,1,0
29,TRANSFER,340198.41,C491994230,340198.41,0,C772681684,0,0,1,0
30,CASH_OUT,19016.22,C1257554854,19016.22,0,C1044117371,9347999.52,9367015.74,1,0
30,CASH_OUT,109401.88,C984153855,109401.88,0,C1806203979,245588.62,354990.5,1,0
30,CASH_OUT,122235.11,C356571967,122235.11,0,C1905066109,0,122235.11,1,0
30,CASH_OUT,236947.25,C474899128,236947.25,0,C116505755,70084.28,307031.53,1,0
30,TRANSFER,19016.22,C182136548,19016.22,0,C717672329,0,0,1,0
30,TRANSFER,109401.88,C2037269206,109401.88,0,C337579043,0,0,1,0
